2026-02-08 08:48:00 | COVERED | Detected during live monitoring
2026-02-08 08:48:11 | BLUR | Detected during live monitoring
2026-02-08 09:30:20 | BLUR | Detected during live monitoring
2026-02-08 09:30:20 | MOVED | Detected during live monitoring
2026-02-08 09:30:25 | MOVED | Detected during live monitoring
2026-02-08 09:30:27 | BLUR | Detected during live monitoring
2026-02-08 09:30:30 | MOVED | Detected during live monitoring
2026-02-08 09:30:32 | BLUR | Detected during live monitoring
2026-02-08 09:30:42 | BLUR | Detected during live monitoring
2026-02-08 09:30:42 | MOVED | Detected during live monitoring
2026-02-08 19:05:05 | COVERED | Detected during live monitoring
2026-02-08 19:05:25 | BLUR | Detected during live monitoring
2026-02-08 19:05:25 | MOVED | Detected during live monitoring
2026-02-08 19:05:28 | BLUR | Detected during live monitoring
2026-02-08 19:05:29 | MOVED | Detected during live monitoring
2026-02-08 19:05:31 | BLUR | Detected during live monitoring
2026-02-08 19:05:32 | MOVED | Detected during live monitoring
2026-02-08 19:05:33 | COVERED | Detected during live monitoring
2026-02-08 19:05:34 | BLUR | Detected during live monitoring
2026-02-09 14:32:33 | MOVED | Detected during live monitoring
2026-02-09 14:32:58 | MOVED | Detected during live monitoring
2026-02-09 14:33:06 | MOVED | Detected during live monitoring
2026-02-09 14:33:09 | MOVED | Detected during live monitoring
2026-02-09 14:33:13 | MOVED | Detected during live monitoring
2026-02-09 14:33:18 | MOVED | Detected during live monitoring
2026-02-09 14:33:30 | MOVED | Detected during live monitoring
